date,normal_rate,discount_type,discount_ammout,post_discount,adjustment,billing,status,gender,city,state,program,room,schedule
8/1/2022,1000,Corporate,-50,950,0,950,Active,male,Garland, Texas,Primary,Chevalier,5HD
8/1/2022,1100,Corporate,-102.5,997.5,0,997.5,Active,female,Garland, Texas,Toddler,Monet,FD
8/1/2022,1100,Corporate,-102.5,997.5,0,997.5,Active,female,Plano, Texas,Primary,Van Gogh,FD
8/1/2022,1000,Corporate,-97.5,902.5,0,902.5,Inactive,male,,,Primary,,FD
8/1/2022,1000,Corporate,-1000,0,0,0,Active,male,Garland, Texas,Lower Elementary,Newton,FD
8/1/2022,950,Corporate,-950,0,0,0,Active,female,Garland, Texas,Lower Elementary,Newton,5SD
8/1/2022,950,Corporate,-950,0,0,0,Active,female,Garland, Texas,Lower Elementary,Newton,5SD
8/1/2022,950,Corporate,-950,0,0,0,Active,female,Richardson, Texas,Primary,Cassatt,FD
8/1/2022,1000,Corporate,-500,500,-500,0,Active,female,,,Upper Elementary,Einstein,5SD
8/1/2022,1000,Corporate,-1000,0,0,0,Inactive,male,Richardson, Texas,Upper Elementary,Einstein,FD
8/1/2022,1050,Corporate,-1050,0,0,0,Inactive,female,,,Lower Elementary,,FD
8/1/2022,1100,Corporate,-1100,0,0,0,Inactive,male,,,Primary,,3SD
8/1/2022,1100,Family,-1100,0,0,0,Active,male,Garland, Texas,Primary,Van Gogh,FD
8/1/2022,1000,Family,-300,700,0,700,Active,female,Richardson, Texas,Upper Elementary,Einstein,5SD
8/1/2022,1000,Family,-300,700,0,700,Active,female,Richardson, Texas,Upper Elementary,Einstein,5SD
8/1/2022,1100,Family,-55,1045,0,1045,Active,female,Rowlett, Texas,Primary,Chevalier,FD
8/1/2022,1000,Family,-450,550,0,550,Active,female,Wylie, Texas,Lower Elementary,Newton,FD
8/1/2022,1100,Family,-550,550,0,550,Active,female,Wylie, Texas,Primary,Van Gogh,FD
8/1/2022,1100,Family,-300,800,0,800,Inactive,female,Garland, Texas,Primary,Van Gogh,FD
8/1/2022,1000,Family,-450,550,0,550,Inactive,female,,,Primary,,FD
8/1/2022,1000,Family,-450,550,0,550,Inactive,male,,,Primary,,FD
8/1/2022,1050,Family,-200,850,0,850,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,Family,-200,850,0,850,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1000,Family,-145,855,-855,0,Inactive,female,,,Lower Elementary,,5SD
8/1/2022,1050,Family,-262.5,787.5,0,787.5,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,Family,-200,850,0,850,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,Family,-200,850,0,850,Inactive,female,,,Lower Elementary,,FD
8/1/2022,1050,Family,-262.5,787.5,0,787.5,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,Family,-1050,0,0,0,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1000,Family,-200,800,0,800,Inactive,male,,,Lower Elementary,,5SD
