Date,Charge Category,Original Charge,Discount Type 1,Discount Amount,Post Discount,Adjustment,Billing Amount,Status,Gender,City,State,Program,Room,Schedule
8/1/2023,Tuition,1050.00,Employee discount,-1050.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
9/1/2023,Tuition,1050.00,Employee discount,-1050.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
10/1/2023,Tuition,1050.00,Employee discount,-1050.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
11/1/2023,Tuition,1050.00,Employee discount,-1050.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
12/1/2023,Tuition,1050.00,Employee discount,-1050.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
1/1/2024,Tuition,1050.00,Employee discount,-1050.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
2/1/2024,Tuition,1050.00,Employee discount,-1050.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
3/1/2024,Tuition,1050.00,Employee discount,-1050.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
4/1/2024,Tuition,1050.00,Employee discount,-1050.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
7/1/2023,Tuition,1000.00,Employee discount,-1000.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
8/1/2023,Tuition,1000.00,Employee discount,-1000.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
9/1/2023,Tuition,1000.00,Employee discount,-1000.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
4/1/2023,Tuition,775.00,Employee discount,-775.00,0.00,0.00,0.00,Active,male,Carrollton, Texas,Primary,Van Gogh,FD
8/1/2023,Tuition,1155.00,Healthcare Worker,-162.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
9/1/2023,Tuition,1155.00,Healthcare Worker,-162.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
10/1/2023,Tuition,1155.00,Healthcare Worker,-162.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
11/1/2023,Tuition,1155.00,Healthcare Worker,-162.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
12/1/2023,Tuition,1155.00,Healthcare Worker,-162.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
1/1/2024,Tuition,1155.00,Healthcare Worker,-162.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
2/1/2024,Tuition,1155.00,Healthcare Worker,-162.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
3/1/2024,Tuition,1155.00,Healthcare Worker,-162.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
4/1/2024,Tuition,1155.00,Healthcare Worker,-162.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
7/1/2023,Tuition,1100.00,Military Discount,-107.25,992.75,0.00,992.75,Active,male,Dallas, Texas,Toddler,Beethoven,FD
6/1/2023,Tuition,960.00,Military Discount,-93.60,866.40,0.00,866.40,Active,male,Dallas, Texas,Toddler,Beethoven,FD
1/1/2024,Tuition,1155.00,Healthcare Worker,-57.75,1097.25,-1097.25,0.00,Active,male,Dallas, Texas,Primary,Chevalier,FD
